507    1062
481     540
___________________________________________________________
Result of Year   2010   :
541     600
___________________________________________________________
Result of Year   2015   :
28018 28018
-100.0 ab initio , arabidopsis thaliana
-100.0 ab initio , caenorhabditis elegans
-100.0 ab initio , computational biology
-100.0 ab initio , genome annotation
-100.0 ab initio , microbial communities
-100.0 ab initio , non-coding rna
-100.0 ab initio , protein domains
-100.0 ab initio , protein folding
-100.0 ab initio , protein sequences
-100.0 ab initio , regulation of gene expression
-100.0 ab initio , secondary structure prediction
-100.0 ab initio , small rna
-100.0 action recognition , early detection
-100.0 action recognition , false positives
-100.0 action recognition , motor cortex
-100.0 active contour , brain mri
-100.0 active contour , breast lesion
-100.0 active contour , carotid artery
-100.0 active contour , chronic obstructive pulmonary disease
-100.0 active contour , clinical applications
-100.0 active contour , clinical diagnosis
-100.0 active contour , computerized tomography
-100.0 active contour , diabetic retinopathy
-100.0 active contour , gray matter
-100.0 active contour , lesion classification
-100.0 active contour , lesion segmentation
-100.0 active contour , lung disease
-100.0 active contour , magnetic resonance
-100.0 active contour , microscopic images
-100.0 active contour , objective assessment
-100.0 active contour , plaque components
-100.0 active contour , skin lesions
-100.0 active contour , soft tissue
-100.0 active contour , white matter
-100.0 active learning , age groups
-100.0 active learning , biomedical literature
-100.0 active learning , biomedical research
-100.0 active learning , cancer research
-100.0 active learning , cancer risk
-100.0 active learning , cognitive function
-100.0 active learning , colorectal cancer
-100.0 active learning , electron microscopy
-100.0 active learning , eye movement
-100.0 active learning , higher education
-100.0 active learning , mass spectrometry
-100.0 active learning , medical education
-100.0 active learning , membrane protein
-100.0 active learning , positron emission tomography
-100.0 active learning , prostate
-100.0 active learning , prostate cancer
-100.0 active learning , protein data bank
-100.0 active learning , protein structure
-100.0 active learning , protein structure prediction
-100.0 active learning , protein-protein interactions
-100.0 active learning , radiology report
-100.0 active learning , radiology reports
-100.0 active learning , rectal cancer
-100.0 active learning , rheumatoid arthritis
-100.0 active learning , risk assessment
-100.0 active learning , screening methods
-100.0 active learning , structure prediction
-100.0 active learning , study design
-100.0 active learning , t cell
-100.0 active learning , t cells
-100.0 active learning , translational research
-100.0 activity recognition , disease management
-100.0 activity recognition , public health
-100.0 adaboost , cancer detection
-100.0 adaboost , cell cycle
-100.0 adaboost , cell line
-100.0 adaboost , cell proliferation
-100.0 adaboost , chemical descriptors
-100.0 adaboost , chemical entities
-100.0 adaboost , chest ct
-100.0 adaboost , chest radiographs
-100.0 adaboost , chronic obstructive pulmonary disease
-100.0 adaboost , clinical diagnosis
-100.0 adaboost , critical care
-100.0 adaboost , drug-drug interaction
-100.0 adaboost , drug-drug interactions
-100.0 adaboost , facial expressions
-100.0 adaboost , fine needle aspiration
-100.0 adaboost , g protein-coupled receptors
-100.0 adaboost , gene expression profile
-100.0 adaboost , gene function
-100.0 adaboost , genomic selection
-100.0 adaboost , heart rate variability
-100.0 adaboost , human diseases
-100.0 adaboost , intracranial pressure
-100.0 adaboost , metabolic pathway
